RelYear,AvgPerYear,period
-30.0,1.7119266055045872,before
-29.0,1.9779816513761468,before
-28.0,2.3486238532110093,before
-27.0,2.3431192660550457,before
-26.0,2.4275229357798165,before
-25.0,2.7522935779816518,before
-24.0,3.0458715596330275,before
-23.0,3.273394495412844,before
-22.0,3.622018348623853,before
-21.0,3.61651376146789,before
-20.0,4.148623853211009,before
-19.0,4.234862385321101,before
-18.0,4.497247706422018,before
-17.0,4.866055045871559,before
-16.0,5.18348623853211,before
-15.0,5.451376146788991,before
-14.0,5.2605504587155965,before
-13.0,5.576146788990826,before
-12.0,5.93211009174312,before
-11.0,6.020183486238532,before
-10.0,6.143119266055046,before
-9.0,6.451376146788991,before
-8.0,6.568807339449541,before
-7.0,6.825688073394495,before
-6.0,7.255045871559633,before
-5.0,7.218348623853211,before
-4.0,7.68440366972477,before
-3.0,7.528440366972477,before
-2.0,7.165137614678899,before
-1.0,6.941284403669725,before
0.0,6.921100917431192,after
1.0,8.480733944954128,after
2.0,6.201834862385321,after
3.0,5.968807339449541,after
4.0,6.328440366972477,after
5.0,6.027522935779817,after
6.0,4.81651376146789,after
7.0,4.96697247706422,after
8.0,5.321100917431193,after
9.0,5.115596330275229,after
10.0,4.522935779816514,after
11.0,4.275229357798165,after
12.0,4.165137614678899,after
13.0,3.603669724770642,after
14.0,3.2807339449541284,after
15.0,2.9009174311926604,after
16.0,2.770642201834862,after
17.0,2.5889908256880734,after
18.0,2.363302752293578,after
19.0,2.0256880733944955,after
20.0,2.489908256880734,after
21.0,1.6862385321100917,after
22.0,1.8110091743119263,after
23.0,1.5504587155963303,after
24.0,1.3743119266055046,after
25.0,1.3779816513761467,after
26.0,1.3981651376146789,after
27.0,1.3284403669724771,after
28.0,1.418348623853211,after
29.0,1.091743119266055,after
30.0,0.7614678899082569,after
