Laureate name,Prize year,Field,Affiliation,Guessed Country
"thouless, dj",2016,Physics,university of washington,USA
"kosterlitz, jm",2016,Physics,brown university,USA
"haldane, fdm",2016,Physics,university of southern california,USA
"kajita, t",2015,Physics,university of tokyo,Japan
"mcdonald, ab",2015,Physics,queen s university,Canada
"mcdonald, ab",2015,Physics,university of oxford,UK
"akasaki, isamu",2014,Physics,meijo university,Japan
"amano, hiroshi",2014,Physics,nagoya university,Japan
"nakamura, shuji",2014,Physics,university of california santa barbara,USA
"englert, f",2013,Physics,Universite libre de Bruxelles,Belgium
"higgs, pw",2013,Physics,university of edinburgh,UK
"higgs, pw",2013,Physics,university of edinburgh,UK
"haroche, serge",2012,Physics,college de france,France
"haroche, serge",2012,Physics,college de france,France
"wineland, david",2012,Physics,national institute of standards and technology,USA
"wineland, david",2012,Physics,national institute of standards and technology,USA
"wineland, david",2012,Physics,national institute of standards and technology,USA
"perlmutter, s",2011,Physics,lawrence berkeley national laboratory,USA
"schmidt, bp",2011,Physics,australian national university,Austria
"riess, adam g.",2011,Physics,harvard university,USA
"novoselov, kostya s.",2010,Physics,university of manchester,UK
"geim, andre k.",2010,Physics,university of manchester,UK
"kao, kc",2009,Physics,Chinese University of Hong Kong,China
"boyle, ws",2009,Physics,Bell Labs,USA
"smith, ge",2009,Physics,Bell Labs,USA
"nambu, yoichiro",2008,Physics,university of chicago,USA
"nambu, yoichiro",2008,Physics,university of chicago,USA
"nambu, yoichiro",2008,Physics,university of chicago,USA
"kobayash, m",2008,Physics,kyoto university,Japan
"maskawa, t",2008,Physics,kyoto university,Japan
"fert, a",2007,Physics,centre national de la recherche scientifique,France
"grunberg, p",2007,Physics,forschungszentrum julich,Germany
"mather, jc",2006,Physics,goddard space flight center,USA
"smoot, gf",2006,Physics,university of california berkeley,USA
"glauber, rj",2005,Physics,harvard university,USA
"glauber, rj",2005,Physics,harvard university,USA
"hall, jl",2005,Physics,university of colorado boulder,USA
"hall, jl",2005,Physics,university of colorado boulder,USA
"hansch, tw",2005,Physics,max planck society,Germany
"hansch, tw",2005,Physics,max planck society,Germany
"hansch, tw",2005,Physics,max planck society,Germany
"wilczek, f",2004,Physics,Massachusetts Institute of Technology,USA
"gross, dj",2004,Physics,princeton university,USA
"politzer, hd",2004,Physics,california institute of technology,USA
"abrikosov, aa",2003,Physics,argonne national laboratory,USA
"leggett, aj",2003,Physics,university of illinois at urbana champaign,USA
"leggett, aj",2003,Physics,university of illinois at urbana champaign,USA
"leggett, aj",2003,Physics,university of illinois at urbana champaign,USA
"leggett, aj",2003,Physics,university of illinois at urbana champaign,USA
"leggett, aj",2003,Physics,university of illinois at urbana champaign,USA
"ginzburg, vl",2003,Physics,Lebedev Physical Institute,Russia
"koshiba, m",2002,Physics,university of tokyo,Japan
"koshiba, m",2002,Physics,university of tokyo,Japan
"giacconi, r",2002,Physics,Johns Hopkins University,USA
raymond davis jr.,2002,Physics,Monsanto,USA
"cornell, ea",2001,Physics,University of Colorado Boulder,USA
"ketterle, w",2001,Physics,University of Heidelberg,Germany
"wieman, ce",2001,Physics,University of British Columbia,USA
kroemer herbert ,2000,Physics,university of california santa barbara,USA
"alferov, zi",2000,Physics,russian academy of sciences,Russia
"alferov, zi",2000,Physics,russian academy of sciences,Russia
"kilby, js",2000,Physics,texas instruments,USA
"veltman, m",1999,Physics,university of michigan,USA
"thooft, g",1999,Physics,utrecht university,Netherlands
"stormer, hl",1998,Physics,columbia university,USA
"tsui, dc",1998,Physics,princeton university,USA
"laughlin, rb",1998,Physics,stanford university,USA
"phillips, wd",1997,Physics,national institute of standards and technology,USA
"cohentannoudji, c",1997,Physics,College_de_France,France
"chu, s",1997,Physics,stanford university,USA
"lee, dm",1996,Physics,texas a m university,USA
"lee, dm",1996,Physics,texas a m university,USA
"osheroff, dd",1996,Physics,Stanford University,USA
"richards, rc",1996,Physics,cornell university,USA
"richards, rc",1996,Physics,cornell university,USA
"perl, ml",1995,Physics,ben gurion university of the negev,Israel
"perl, ml",1995,Physics,ben gurion university of the negev,Israel
"perl, ml",1995,Physics,stanford university,USA
"reines, f",1995,Physics,university of california irvine,USA
"shull, cg",1994,Physics,massachusetts institute of technology,USA
"brockhouse, bn",1994,Physics,atomic energy of canada limited,USA
"brockhouse, bn",1994,Physics,atomic energy of canada limited,USA
"hulse, ra",1993,Physics,University of Texas at Dallas,USA
"taylor, jh",1993,Physics,Stanford Linear Accelerator Center,USA
"charpak, g",1992,Physics,cern,Other
"degennes, pg",1991,Physics,University_of_Paris_X,France
"taylor, re",1990,Physics,stanford university,USA
"taylor, re",1990,Physics,stanford university,USA
"taylor, re",1990,Physics,stanford university,USA
"taylor, re",1990,Physics,stanford university,USA
"friedman, ji",1990,Physics,massachusetts institute of technology,USA
"friedman, ji",1990,Physics,massachusetts institute of technology,USA
"friedman, ji",1990,Physics,massachusetts institute of technology,USA
"friedman, ji",1990,Physics,massachusetts institute of technology,USA
"kendall, hw",1990,Physics,massachusetts institute of technology,USA
"kendall, hw",1990,Physics,massachusetts institute of technology,USA
"kendall, hw",1990,Physics,massachusetts institute of technology,USA
"kendall, hw",1990,Physics,massachusetts Institute of Technology,USA
"kendall, hw",1990,Physics,massachusetts institute of technology,USA
"ramsey, nf",1989,Physics,harvard university,USA
"dehmelt, hg",1989,Physics,university of Washington,USA
"dehmelt, hg",1989,Physics,university of washington,USA
"dehmelt, hg",1989,Physics,university of washington,USA
"paul, w",1989,Physics,University of Bonn,Germany
"steinberger, j",1988,Physics,brookhaven national laboratory,USA
"schwartz, m",1988,Physics,brookhaven national laboratory,USA
"lederman, lm",1988,Physics,fermilab,USA
"muller, ka",1987,Physics,ibm,USA
"bednorz, jg",1987,Physics,ibm,USA
"binnig, g",1986,Physics,ibm,USA
"binnig, g",1986,Physics,ibm,USA
"rohrer, h",1986,Physics,ibm,USA
"ruska, e",1986,Physics,Fritz Haber Institute,Germany
"vonklitzing, k",1985,Physics,,Unknown
"rubbia, c",1984,Physics,cern,Other
"rubbia, c",1984,Physics,cern,Other
"vandermeer, s",1984,Physics,cern,Other
"vandermeer, s",1984,Physics,cern,Other
"fowler, wa",1983,Physics,california institute of technology,USA
"chandrasekhar, s",1983,Physics,university of chicago,USA
"wilson, kg",1982,Physics,ohio state university,USA
"wilson, kg",1982,Physics,ohio state university,USA
"siegbahn, k",1981,Physics,University of Stockholm,Sweden
